,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
6917,,1,,1.0,1.0,survey,,
6920,,2,,1.0,1.0,survey,,
6925,,2,,2.0,1.0,survey,,
6930,,2,,2.0,3.0,survey,,
6938,,1,,2.0,3.0,survey,,
6953,,1,,1.0,2.0,survey,,
6970,,2,,1.0,1.0,survey,,
6974,,2,,2.0,3.0,survey,,
6984,,1,,1.0,1.0,survey,,
6985,,2,,2.0,1.0,survey,,
6989,,1,,2.0,1.0,survey,,
6993,,1,,1.0,1.0,survey,,
7003,,1,,2.0,3.0,survey,,
7010,,2,,2.0,3.0,survey,,
7022,,2,,2.0,3.0,survey,,
7026,,2,,1.0,1.0,survey,,
7032,,1,,2.0,3.0,survey,,
7041,,2,,2.0,3.0,survey,,
7046,,1,,2.0,1.0,survey,,
7048,,2,,2.0,3.0,survey,,
7050,,2,,2.0,1.0,survey,,
7052,,2,,2.0,1.0,survey,,
7064,,2,,1.0,1.0,survey,,
7065,,2,,1.0,3.0,survey,,
7068,,2,,2.0,3.0,survey,,
7071,,2,,1.0,1.0,survey,,
7076,,1,,2.0,1.0,survey,,
7077,,1,,2.0,1.0,survey,,
7085,,1,,1.0,1.0,survey,,
7087,,2,,2.0,1.0,survey,,
7090,,2,,1.0,1.0,survey,,
7096,,2,,2.0,1.0,survey,,
7101,,2,,2.0,1.0,survey,,
7107,,2,,1.0,1.0,survey,,
7111,,2,,2.0,1.0,survey,,
7116,,1,,2.0,1.0,survey,,
7118,,2,,1.0,1.0,survey,,
7120,,2,,2.0,1.0,survey,,
7122,,1,,2.0,3.0,survey,,
7123,,2,,2.0,3.0,survey,,
7127,,1,,1.0,1.0,survey,,
7129,,1,,1.0,3.0,survey,,
7138,,1,,2.0,3.0,survey,,
7139,,1,,2.0,3.0,survey,,
7150,,2,,1.0,2.0,survey,,
7162,,1,,2.0,1.0,survey,,
7163,,2,,2.0,3.0,survey,,
7178,,1,,1.0,1.0,survey,,
7181,,2,,2.0,3.0,survey,,
7186,,2,,2.0,3.0,survey,,
7193,,2,,1.0,3.0,survey,,
7195,,1,,2.0,3.0,survey,,
7199,,2,,2.0,1.0,survey,,
7207,,1,,2.0,3.0,survey,,
7210,,1,,2.0,1.0,survey,,
7215,,2,,2.0,1.0,survey,,
7216,,1,,2.0,1.0,survey,,
7218,,2,,2.0,1.0,survey,,
7219,,2,,2.0,3.0,survey,,
7224,,2,,2.0,3.0,survey,,
7227,,2,,1.0,1.0,survey,,
7231,,1,,1.0,1.0,survey,,
7235,,1,,1.0,1.0,survey,,
7238,,1,,1.0,1.0,survey,,
7243,,2,,1.0,1.0,survey,,
7249,,2,,2.0,1.0,survey,,
7251,,1,,1.0,1.0,survey,,
7260,,1,,2.0,3.0,survey,,
7270,,2,,2.0,1.0,survey,,
7271,,2,,2.0,1.0,survey,,
7280,,1,,2.0,1.0,survey,,
7294,,2,,1.0,3.0,survey,,
7295,,2,,2.0,1.0,survey,,
7297,,2,,1.0,1.0,survey,,
7306,,2,,2.0,3.0,survey,,
7307,,2,,2.0,1.0,survey,,
7315,,2,,2.0,1.0,survey,,
7316,,2,,2.0,1.0,survey,,
7327,,2,,2.0,3.0,survey,,
7334,,1,,2.0,1.0,survey,,
7337,,1,,2.0,3.0,survey,,
7341,,1,,1.0,1.0,survey,,
7361,,2,,1.0,1.0,survey,,
7372,,1,,2.0,3.0,survey,,
7376,,1,,1.0,3.0,survey,,
7380,,2,,1.0,3.0,survey,,
7393,,2,,1.0,1.0,survey,,
7402,,2,,1.0,3.0,survey,,
7419,,1,,2.0,1.0,survey,,
7432,,1,,1.0,1.0,survey,,
7454,,2,,1.0,1.0,survey,,
7458,,1,,2.0,3.0,survey,,
7460,,2,,1.0,3.0,survey,,
7461,,2,,1.0,3.0,survey,,
7462,,1,,2.0,3.0,survey,,
7464,,2,,2.0,3.0,survey,,
7466,,2,,1.0,1.0,survey,,
7469,,1,,2.0,3.0,survey,,
7485,,1,,1.0,1.0,survey,,
7486,,2,,2.0,1.0,survey,,
7487,,1,,1.0,1.0,survey,,
7499,,1,,1.0,3.0,survey,,
7503,,2,,1.0,2.0,survey,,
7516,,1,,2.0,1.0,survey,,
7517,,2,,2.0,3.0,survey,,
7521,,1,,1.0,3.0,survey,,
7522,,2,,2.0,1.0,survey,,
7523,,1,,2.0,3.0,survey,,
7524,,2,,2.0,3.0,survey,,
7527,,2,,2.0,1.0,survey,,
7530,,1,,2.0,3.0,survey,,
7535,,2,,1.0,1.0,survey,,
7539,,1,,1.0,1.0,survey,,
7540,,2,,1.0,3.0,survey,,
7545,,1,,1.0,1.0,survey,,
7562,,2,,2.0,1.0,survey,,
7566,,1,,1.0,1.0,survey,,
7571,,1,,1.0,1.0,survey,,
7572,,2,,2.0,3.0,survey,,
7582,,1,,1.0,1.0,survey,,
7588,,1,,1.0,1.0,survey,,
7589,,2,,2.0,1.0,survey,,
7607,,1,,2.0,1.0,survey,,
7612,,1,,2.0,1.0,survey,,
7614,,1,,1.0,3.0,survey,,
7616,,2,,1.0,3.0,survey,,
7617,,1,,1.0,1.0,survey,,
7620,,1,,2.0,1.0,survey,,
7627,,2,,2.0,1.0,survey,,
7634,,1,,2.0,,survey,,
7649,,1,,2.0,3.0,survey,,
7652,,1,,1.0,3.0,survey,,
7659,,1,,1.0,3.0,survey,,
7660,,2,,2.0,3.0,survey,,
7668,,1,,2.0,3.0,survey,,
7683,,1,,2.0,1.0,survey,,
7685,,2,,2.0,1.0,survey,,
7703,,2,,2.0,1.0,survey,,
7707,,2,,2.0,1.0,survey,,
7709,,2,,1.0,1.0,survey,,
7711,,1,,1.0,1.0,survey,,
7713,,2,,1.0,1.0,survey,,
7726,,1,,1.0,3.0,survey,,
7728,,2,,2.0,1.0,survey,,
7735,,1,,2.0,1.0,survey,,
7748,,2,,2.0,1.0,survey,,
7749,,1,,1.0,2.0,survey,,
7754,,2,,2.0,3.0,survey,,
7760,,2,,2.0,3.0,survey,,
7766,,2,,1.0,1.0,survey,,
7770,,2,,1.0,1.0,survey,,
7772,,2,,2.0,3.0,survey,,
7778,,1,,1.0,3.0,survey,,
7784,,2,,2.0,1.0,survey,,
7796,,1,,1.0,3.0,survey,,
7797,,1,,2.0,1.0,survey,,
7810,,2,,1.0,1.0,survey,,
7814,,2,,1.0,1.0,survey,,
7816,,2,,2.0,3.0,survey,,
7819,,2,,1.0,1.0,survey,,
7825,,2,,2.0,3.0,survey,,
